City/ Location,State,What was the event?,Who made the decision? (Name & title),Category,Date of event,Link to sources or more information ,Additional link,Additional link,"Your name & email or twitter handle to contact (optional, will be viewable by the public)",
Cape May,NJ,Beaches and promenade closed; short term rentals prohibited,"Jerome Inderweis, Jr., City Manager",Quarantines and forced closures,4/5/2020,www.capemaycity.com,,,,
Carrol ,IA,"While open spaces and trails in City owned parks remain open, the following park amenities are closed: all shelters, playground equipment, basketball courts, tennis courts, volleyball courts, baseball fields, softball fields, the Graham Park skate park, bathrooms, and drinking fountains and are expected to remain closed until at least May 1st.",Dr. Eric Jensen - Mayor,Quarantines and forced closures,4/3/2020,https://www.cityofcarroll.com/covid19,,,,
Cedar Falls,IA,"Cedar Falls City Hall will be closed to the public from March 17 until at least April 30. The Public Library, Hearst Center for the Arts, Community Center, Recreation & Fitness Center, and Visitors Center & Tourism Office will all be closed to the public.",Mayor Rob Green,,3/17/2020,https://www.cedarfalls.com/1532/Information-on-Coronavirus-Outbreak---CO,,,,
Cedar Rapids,IA,"City of Cedar Rapids Transit will suspend fixed-route transit service effective Wednesday, March 25 as an additional measure to limit the potential spread of COVID-19. 
Non-essential public meetings have been canceled until further notice.",Mayor Bradley G. Hart,Not sure,3/25/2020,http://www.cedar-rapids.org/alert_detail/coronavirus_(covid-19).php,,,,
Central NY State,NY,School closings,,Schools,Various dates week of 3/15,https://www.syracuse.com/schools/page/school-closings.html,,,,
Chaffee County,CO,Closes county to all visitors,Chaffee County,Quarantines and forced closures,4/6/2020,https://cityofsalida.com/2020/04/chaffee-county-is-closed-to-visitors-tourists-and-leisure-until-further-notice/,,,debistobie@gmail.com,
Charleston,WV,Charleston PD closing offices to the public,Charleston PD,Quarantines and forced closures,3/19/2020,https://www.charleston-sc.gov/DocumentCenter/View/26217/Charleston-Police-Department-Temporarily-Closing-Its-Headquarters-Lobby-and-Team-Offices-To-The-Public,,,INT,
"Charleston, Mount Pleasant",SC,"Mayors of Mount Pleasant and Charleston announced a telethon to fundraise for a homelessness non profit, schedule for May 8",Charleston Mayor John Tecklenburg and Mount Pleasant Mayor Will Haynie,Not sure,4/24/2020,https://www.live5news.com/2020/04/24/live-charleston-mayor-announce-telethon-address-citys-covid-fight/,,,,
Charlotte ,NC,City of Charlotte Announces Open for Business Initiative to Support Small Businesses,Mayor Vi Lyles,Not Sure,4/17/2020,https://charlottenc.gov/newsroom/cityhighlights/Pages/City-of-Charlotte-Announces.aspx,,,INT,
Cheyenne,WY,COVID-19 Emergency Relief Fund formed,"Mayor Marion Orr, Forward Greater Cheyenne",Not sure,3/30/2020,https://www.cheyennecity.org/DocumentCenter/View/31365/Greater-Cheyenne-COVID-19-Emergency-Relief-Fund-Announced,,,INT,
Cheyenne,WY,Closing non-essential businesses,County Health Official,Quarantines and forced closures,3/19/2020,https://www.cheyennecity.org/DocumentCenter/View/31329/Joint-Response-to-the-COVID-19-Situation-by-Cheyenne-Mayor-Marian-Orr-and-City-Council-President-Dr-Mark-Rinne,,,INT,
Cheyenne,WY,New medical center visitation restrictions,Cheyenne Regional Medical Center CEO Tim Thornell,Quarantines and forced closures,4/1/2020,https://www.cheyenneregional.org/patients-visitors/covid-19-information/,,,INT,
Chicago,IL,Closing Chicago Public Schools through April 20,Mayor Lori Lightfoot,Schools,3/19/2020,https://www.fox32chicago.com/news/mayor-announces-chicago-public-schools-will-be-closed-through-april-20-due-to-covid-19,,,,
Chicago,IL,"Closure of The City's Lakefront, Adjacent Parks, 606 and Riverwalk to the Public",Mayor Lori Lightfoot,Quarantines and forced closures,3/26/2020,https://www.chicago.gov/city/en/depts/mayor/press_room/press_releases/2020/march/ClosureLakefrontParks606Riverwalk.html,,,,
Chicago,IL,Announcement of Arts for Illinois relief Initiative,Gov. JB Pritizker and Mayor Lori Lightfoot,Quarantines and forced closures,4/1/2020,https://chicago.suntimes.com/entertainment-and-culture/2020/4/1/21202895/coronavirus-pritzker-lightfoot-music-art-chicago-pandemic-illinois-dcase-nonprofit-work-mark-kelly,,,INT,
Chicago,IL,Eviction cases suspended through May 18,Cook County,Courts,3/30/2020,https://www.chicagotribune.com/coronavirus/ct-re-coronavirus-pay-rent-april-cb-0331-20200331-jzkh77l2hva2xbl2q647auhv7q-story.html,,,INT,
Chicago,IL,$100M loan fund for businesses hit by coronavirus,Chicago Mayor Lori Lightfoot,Not sure,3/19/2020,https://www.chicagobusiness.com/government/lightfoot-100m-loan-fund-businesses-hit-coronavirus,,,INT,
Chicago,IL,New Number for COVID-19 Text in Illinois: (312) 500-3836. Provides Coronavirus updates in Chicago,Health Equity,Not sure,4/10/2020,https://www.nbcchicago.com/news/local/illinois-coronavirus-updates-chicago-neighborhood-has-highest-total-cpd-cases-rise/2253630/,,,,
Chicago,IL,Mayor tours alternate care facility at the McCormick place after it reaches its second phase of construction,Mayor Lori Lightfoot,Not sure,4/10/2020,https://www.nbcchicago.com/news/local/illinois-coronavirus-updates-chicago-neighborhood-has-highest-total-cpd-cases-rise/2253630/,,,,
Chicago,IL,City Council moving to an online meeting on April 15,Mayor Lori Lightfoot and City Clerk Ana Valencia,Elected/public officials,4/10/2020,https://www.chicagotribune.com/coronavirus/ct-coronavirus-pandemic-chicago-illinois-news-20200410-waujpq55kvfbngrshwodulxf24-story.html,,,,
Chicago,IL,9 PM liqour sale curfew instituted,Mayor Lori Lightfoot,Quarantines and forced closures,4/9/2020,https://www.nbcchicago.com/news/local/illinois-coronavirus-updates-super-spreader-in-chicago-start-of-liquor-sales-curfew/2252964/,,,,
Chicago,IL,Order signed ensuring benefits for immigrants living in U.S. without legal permission,Mayor Lori Lightfoot,Elected/public officials,4/7/2020,https://www.chicagotribune.com/coronavirus/ct-coronavirus-pandemic-chicago-illinois-news-20200407-boffjawi4ndgxacbblcg56piaa-story.html,,,,
Chicago,IL,Creation of racial equity rapid response team to combat increased African American COVID-19 deaths,Mayor Lori Lightfoot,Elected/public officials,4/20/2020,https://www.chicagotribune.com/coronavirus/ct-coronavirus-pandemic-chicago-illinois-news-20200420-fiyolw53xfhtvjdijyswhcwxei-story.html,,,,
Chicago,IL,New measures for essential Chicago city workers including providing training and cloth masks and creating an isolation space at Hotel Julian,Mayor Lori Lightfoot,Elected/public officials,4/20/2020,https://www.chicagotribune.com/coronavirus/ct-coronavirus-pandemic-chicago-illinois-news-20200420-fiyolw53xfhtvjdijyswhcwxei-story.html,,,,
Chicago,IL,Police setting up checkpoints to remind people of safety-at-home order and provide support in culling violence,Chicago Police Department ,Not sure,4/15/2020,https://www.chicagotribune.com/coronavirus/ct-coronavirus-pandemic-chicago-illinois-news-20200415-3wo7f47ljjagxb7czeakqjyeia-story.html,,,,
Chicago,IL,Formation of COVID-19 Recovery Taskforce,Mayor Lori Lightfoot,Elected/public officials,4/23/2020,https://www.chicagotribune.com/coronavirus/ct-coronavirus-pandemic-chicago-illinois-news-20200423-bknbhl7odbf7pd57ecja2exd2i-story.html,,,,
Chicopee,MA,"spending freeze, relief on excise and real estate taxes",Mayor John L. Vieau,Not sure,4/3/2020,,,,,
Chittenden County,VT,No Evictions in Chittenden County During Coronavirus Crisis,Vermont Superior Court Judge Helen Toor,Courts,3/30/2020,https://www.sevendaysvt.com/OffMessage/archives/2020/04/03/coronavirus-updates-in-vermont-week-of-march-30,,,David Blatt,
Cincinnati,OH,Mayor of Cincinnati issued an emergency order for all of those who believe they have Covid-19 to self isolate at home for 14 days,Mayor John Cranley,Quarantines and forced closures,4/10/2020,https://www.wvxu.org/post/mayor-cranley-issues-self-isolation-order-those-infected-covid-19#stream/0,,,INT,
City of Port Hueneme,CA,"Port Hueneme reopens beach with restrictions. Exercise encouraged, visitors should wear masks and practice social distancing. Sunbathing and hanging out strongly discouraged. Physical activity should be done solitarily.",City of Port Hueneme Defense and Disaster Council,Quarantines and forced closures,4/18/2020,https://porthuenemeemergency.org/,,,,
Cobb Co,GA,State of emergency,Cobb Chairman Mike Boyce,Quarantines and forced closures,3/24/2020,https://www.ajc.com/news/local-govt--politics/cobb-prepares-declare-state-emergency-for-coronavirus/XdwZul12dIaDfoM9YErkZJ/,https://s3.us-west-2.amazonaws.com/cobbcounty.org.if-us-west-2/prod/2020-03/Declaration%20of%20Emergency.pdf,,,
Cohasset,MA,Youth traveling in groups can be issued a $300 fine,Town Health Agent Pamela Fahey,Quarantines and forced closures,4/22/2020,https://www.boston.com/news/local-news/2020/04/20/latest-news-live-updates-outbreak-covid-19-massachusetts-new-england,,,,
Columbia,MO,"Columbia as well as Boone County placed under a stay-at-home order Tuesday, effective Wednesday, 8 am.",Columbia-Boone County Public Health and Human Services Director Stephanie Browning,Quarantines and forced closures,3/24/2020,https://www.news-leader.com/story/news/local/ozarks/2020/03/24/columbia-boone-county-under-stay-home-order-due-coronavirus/2906944001/,https://www.columbiatribune.com/news/20200324/stay-at-home-order-issued-for-boone-county,,,
Columbus,OH,Ohio creates Office of Small Business Relief,Ohio Lt. Governor Jon Husted,Not sure,3/7/2020,https://www.nbc4i.com/news/ohio-creates-office-of-small-business-relief/,,,INT,
Columbus,GA,Events at the Columbus Civic Center cancelled,,Quarantines and forced closures,,https://civiccenter.columbusga.gov/coronavirus/,,,,
Columbus,OH,7 Midwest States to Partner on Reopening the Economy,"Governors Evers, DeWine, Whitmer, Pritzker, Walz, Beshear, Holcomb",Not sure,4/16/2020,https://www.usnews.com/news/politics/articles/2020-04-16/7-midwest-states-to-partner-on-reopening-the-economy,,,INT,
Columbus,OH,"Gov. Mike DeWine on Friday announced that Tom Noe, the central figure in the 2006 Coingate public corruption scandal, will be released from prison more than six years early as part of his effort to reduce the spread of the coronavirus in the state’s prisons.",Gov Mike Dewine,Courts,4/17/2020,https://www.toledoblade.com/local/courts/2020/04/17/coin-dealer-tom-noe-sentence-commuted-by-dewine/stories/20200417103,,,,
Columbus ,OH,All households that are SNAP-eligible will get extra help during the pandemic.,Gov. Mike DeWine,Elected/public officials,4/7/2020,https://local12.com/news/local/ohio-gov-mike-dewine-gives-his-daily-covid-19-update-04-07-2020,,,,
Columbus ,OH,"Those getting carryout meals can now get alcohol with them. The number is up to two, prepackaged drinks per meal. They must remain closed until people get home.",Gov. Mike DeWine,Not sure,4/7/2020,https://local12.com/news/local/ohio-gov-mike-dewine-gives-his-daily-covid-19-update-04-07-2020,,,,
Columbus ,OH,DeWine is looking at trying to release more inmates from the state's prisons.,Gov. Mike DeWine,Elected/public officials,4/7/2020,https://local12.com/news/local/ohio-gov-mike-dewine-gives-his-daily-covid-19-update-04-07-2020,,,,
Columbus ,OH,Extended stay at home order unitl May 1.,Gov. Mike DeWine,Quarantines and forced closures,4/2/2020,https://www.news5cleveland.com/news/continuing-coverage/coronavirus/gov-mike-dewine-extends-stay-at-home-order-to-may-1-creates-stricter-guidelines,,,,
Columbus County,NC,North Carolina sheriff to enforce a curfew in Columbus County from 10pm-5am,Columbus County Sheriff Jody Greene,Elected/public officials,4/3/2020,https://www.newsobserver.com/news/local/article241737976.html,,,,
Concil Bluffs,IA,Mayor Matt Walsh creates YouTube channel for COVID updates,Mayor Matt Walsh,Elected/public officials,3/20/2020,https://www.councilbluffs-ia.gov/CivicAlerts.aspx?AID=223,,,,
Concord,NH,Gov. Chris Sununu says cast mail-in ballots in the November general election if the coronavirus is still a factor this fall.,Gov. Chris Sununu,Elections,4/9/2020,https://www.washingtonpost.com/politics/new-hampshire-gov-sununu-to-allow-absentee-voting-in-november-because-of-coronavirus-outbreak/2020/04/09/d0aa21c8-7aa2-11ea-a130-df573469f094_story.html,,,,
Concord,CA,City Suspends all non-essential meetings and public spaces in accordance with Shelter in place order; the city will reexamine the order May 3,City of Concord,Quarantines and forced closures,3/12/2020,https://www.cityofconcord.org/850/COVID-19-Response,,,,
Concord,NH,"As of March 17, 2020, all City offices and facilities are closed to the public, and as of March 31, all playgrounds and the skate board park are also closed. We are currently operating under a “virtual” model. Residents should utilize online resources, US mail or City drop boxes for all business.",City of Concord,Quarantines and forced closures,3/17/2020,http://www.concordnh.gov/1743/Coronavirus?fbclid=IwAR0NEXGcdgNYHXvm21ExlN34k7qZKwwG3C2sDvcJnGJWdJGKnb1sNCeKCzE,,,,
Contra Costa County,CA,Contra Costa Health Order requires masks and temperature checks for health facility visitors.,County of Contra Costa,Not sure,4/13/2020,https://cchealth.org/press-releases/2020/0413-cchs-HO-Temp-Checks-HF-Visitors.php,,,,
Cook County,IL,Judge orders that Cook County prison do more to protect detanees,U.S. District Judge Matthew Kennelly,Courts,4/10/2020,https://www.nbcchicago.com/news/local/illinois-coronavirus-updates-chicago-neighborhood-has-highest-total-cpd-cases-rise/2253630/,,,,
